term_id,term_name,source,p_value
GO:1901564,organonitrogen compound metabolic process,GO:BP,2.661474180853636e-4
GO:0051241,negative regulation of multicellular organismal process,GO:BP,3.114781641484463e-4
GO:0051172,negative regulation of nitrogen compound metabolic process,GO:BP,3.3221137808666e-4
GO:0051240,positive regulation of multicellular organismal process,GO:BP,3.32247445786937e-4
GO:0009607,response to biotic stimulus,GO:BP,3.53314590679694e-4
GO:0007049,cell cycle,GO:BP,4.363654352529467e-4
GO:0019538,protein metabolic process,GO:BP,4.371489269607202e-4
GO:0051707,response to other organism,GO:BP,4.729032949206065e-4
GO:0045935,positive regulation of nucleobase-containing compound metabolic process,GO:BP,4.7761976141893407e-4
GO:0043207,response to external biotic stimulus,GO:BP,4.990836797719002e-4
GO:0002376,immune system process,GO:BP,5.454575705836123e-4
GO:0044419,biological process involved in interspecies interaction between organisms,GO:BP,5.761217939012377e-4
GO:1903706,regulation of hemopoiesis,GO:BP,7.097445533466631e-4
GO:2000026,regulation of multicellular organismal development,GO:BP,7.370184684853765e-4
GO:0002521,leukocyte differentiation,GO:BP,7.445005546954763e-4
GO:0010468,regulation of gene expression,GO:BP,7.561309038998649e-4
GO:0051239,regulation of multicellular organismal process,GO:BP,0.0011029442122637665
GO:0050794,regulation of cellular process,GO:BP,0.0011482612240577327
GO:0009628,response to abiotic stimulus,GO:BP,0.001336884668449445
GO:0009605,response to external stimulus,GO:BP,0.0013543639418683879
GO:0048872,homeostasis of number of cells,GO:BP,0.0013847953150116284
GO:0097190,apoptotic signaling pathway,GO:BP,0.001501795864668403
GO:1902105,regulation of leukocyte differentiation,GO:BP,0.0015093717957011374
GO:0051052,regulation of DNA metabolic process,GO:BP,0.0015095467491787083
GO:0010605,negative regulation of macromolecule metabolic process,GO:BP,0.0016257248229327526
GO:0008285,negative regulation of cell population proliferation,GO:BP,0.0016931636166297053
GO:0051254,positive regulation of RNA metabolic process,GO:BP,0.0018280211679102105
GO:0001819,positive regulation of cytokine production,GO:BP,0.0021531768992269283
GO:0002683,negative regulation of immune system process,GO:BP,0.0025323209652485827
GO:0045893,positive regulation of DNA-templated transcription,GO:BP,0.0025552252357433137
GO:0006986,response to unfolded protein,GO:BP,0.002623078066603502
GO:1902680,positive regulation of RNA biosynthetic process,GO:BP,0.002679952529410661
GO:0140546,defense response to symbiont,GO:BP,0.002790830692900856
GO:0098542,defense response to other organism,GO:BP,0.002950998238490128
GO:0051094,positive regulation of developmental process,GO:BP,0.003047871566873269
GO:0044271,cellular nitrogen compound biosynthetic process,GO:BP,0.003127541987308066
GO:0001817,regulation of cytokine production,GO:BP,0.0032428785063158255
GO:0001816,cytokine production,GO:BP,0.0037524657799056795
GO:0046649,lymphocyte activation,GO:BP,0.00413210950779854
GO:0043066,negative regulation of apoptotic process,GO:BP,0.00423869214826898
GO:0042110,T cell activation,GO:BP,0.004277830282243062
GO:0001775,cell activation,GO:BP,0.005124257725334995
GO:0048856,anatomical structure development,GO:BP,0.00599947076696709
GO:0035966,response to topologically incorrect protein,GO:BP,0.00639723824019473
GO:0043069,negative regulation of programmed cell death,GO:BP,0.007491770629069665
GO:0009615,response to virus,GO:BP,0.008179692456643238
GO:0045597,positive regulation of cell differentiation,GO:BP,0.008668328049944106
